name,set,image,main_type,sub_type,color_type,special_type,tribe,attribute,level,attack,defense,text
Kotodama,DB1,database\images\Kotodama.jpg,Monster,Effect,Nil,Nil,Fairy,EARTH,3,0,1600,"As long as this card remains face-up on the field, more than 1 monster with the same name cannot exist face-up on the field. If a monster with the same name as a face-up monster on the field is Normal Summoned, Flip Summoned, Special Summoned or flipped face-up later, it is destroyed. (If monsters with the same name are Summoned or flipped face-up at the same time, they are all destroyed.)"
Soitsu,CRV,database\images\Soitsu.jpg,Monster,Normal,Nil,Nil,Fairy,WIND,3,0,0,"Apparently totally unreliable, he wonders if he has incredible potential."
Spirit of the Breeze,DB1,database\images\SpiritoftheBreeze.jpg,Monster,Effect,Nil,Nil,Fairy,WIND,3,0,1800,"As long as this card remains in face-up Attack Position on your side of the field, gain 1000 Life Points during each of your Standby Phases."
The Agent of Force - Mars,AST,database\images\TheAgentofForceMars.jpg,Monster,Effect,Nil,Nil,Fairy,LIGHT,3,0,0,"This card is unaffected by any Spell Cards. If there is ""The Sanctuary in the Sky"" on your side of the field, and your Life Points are higher than your opponent's Life Points, increase the ATK and DEF of this card by the difference between your and your opponent's Life Points."
Goblin King,AST,database\images\GoblinKing.jpg,Monster,Effect,Nil,Nil,Fiend,DARK,1,0,0,This card cannot be attacked if there is another Fiend-Type monster on your side of the field. The ATK and DEF of this card become the number of Fiend-Type monsters on the field (excluding this card) x 1000 points.
Ogre of the Scarlet Sorrow,ABPF,database\images\OgreoftheScarletSorrow.jpg,Monster,Effect,Nil,Nil,Fiend,DARK,4,0,0,"During your opponent's turn, when your opponent declares a second direct attack during the same Battle Phase, you can Special Summon this card from your hand. When you do, this card's ATK and DEF becomes equal to the ATK and DEF of the first monster that attacked directly this turn, if it is still face-up on the field. The turn this card is Special Summoned with this effect, your opponent cannot select monsters other than this card as an attack target while this card is face-up on the field."
Cocoon of Evolution,DB1,database\images\CocoonofEvolution.jpg,Monster,Effect,Nil,Nil,Insect,EARTH,3,0,2000,"You can equip this card from your hand as an Equip Spell Card to a face-up ""Petit Moth"" on the field. If equipped, the ATK and DEF of ""Cocoon of Evolution"" is applied to ""Petit Moth""."
Satellite Cannon,CP01,database\images\SatelliteCannon.jpg,Monster,Effect,Nil,Nil,Machine,LIGHT,5,0,0,"This card cannot be destroyed by battle with a Level 7 or lower monster. During each of your End Phases, this card gains 1000 ATK. If this card attacks, its ATK is returned to 0, after damage calculation."
Synchron Explorer,5DS3,database\images\SynchronExplorer.jpg,Monster,Effect,Nil,Nil,Machine,EARTH,2,0,700,"When this card is Normal Summoned, you can select 1 ""Synchron"" monster in your Graveyard and Special Summon it. Its effects are negated."
Turbo Booster,DP08,database\images\TurboBooster.jpg,Monster,Effect,Nil,Nil,Machine,EARTH,1,0,0,"If you have Normal Summoned a monster this turn, you can Special Summon this card from your hand. You can Tribute this card to destroy 1 monster your opponent controls that battled one of your monsters this turn."
"Uria, Lord of Searing Flames",CT03,database\images\UriaLordofSearingFlames.jpg,Monster,Effect,Nil,Nil,Pyro,FIRE,10,0,0,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by sending 3 face-up Trap Cards from your side of the field to the Graveyard. Increase the ATK of this card by 1000 points for each Continuous Trap Card in your Graveyard. Once per turn, you can destroy 1 Set Spell or Trap Card on your opponent's side of the field. Spell and Trap Cards cannot be activated in response to this effect's activation."
Reptilianne Gardna,ABPF,database\images\ReptilianneGardna.jpg,Monster,Effect,Nil,Nil,Reptile,WATER,4,0,2000,"When this card you control is destroyed and sent to the Graveyard, add 1 ""Reptilianne"" monster from your Deck to your hand."
Reptilianne Naga,ABPF,database\images\ReptilianneNaga.jpg,Monster,Effect,Nil,Nil,Reptile,DARK,1,0,0,"This card cannot be destroyed by battle. The ATK of any monster that battles this card becomes 0 at the end of that Battle Phase. During your End Phase, change this face-up Defense Position card on the field to face-up Attack Position."
Labyrinth Wall,DB1,database\images\LabyrinthWall.jpg,Monster,Normal,Nil,Nil,Rock,EARTH,5,0,3000,These walls form a labyrinth with no exit for enemies.
Magic Hole Golem,ABPF,database\images\MagicHoleGolem.jpg,Monster,Effect,Nil,Nil,Rock,DARK,3,0,2000,"Once per turn, you can select 1 face-up monster you control. Its ATK is halved until the End Phase, and it can attack your opponent directly this turn. During the turn you activate this effect, only the selected monster can attack."
Weeping Idol,ABPF,database\images\WeepingIdol.jpg,Monster,Effect,Nil,Nil,Rock,DARK,2,0,500,You can remove from play 1 Tuner monster in your Graveyard to Special Summon this card from your hand.
Ceremonial Bell,DB1,database\images\CeremonialBell.jpg,Monster,Effect,Nil,Nil,Spellcaster,LIGHT,3,0,1850,"As long as this card remains face-up on the field, both players must show their respective hands."
The Unhappy Maiden,DB2,database\images\TheUnhappyMaiden.jpg,Monster,Effect,Nil,Nil,Spellcaster,LIGHT,1,0,100,"When this card is sent to the Graveyard as a result of battle, the Battle Phase for that turn ends immediately."
Thousand-Eyes Idol,DB1,database\images\ThousandEyesIdol.jpg,Monster,Normal,Nil,Nil,Spellcaster,DARK,1,0,0,"A wicked entity that controls the hearts of men, its thousand eyes are able to see and expand the negative influences in an individual's soul."
Batteryman AA,CP06,database\images\BatterymanAA.jpg,Monster,Effect,Nil,Nil,Thunder,LIGHT,3,0,0,"If all ""Batteryman AA""(s) you control are in Attack Position, this card gains 1000 ATK for each. If all ""Batteryman AA""(s) you control are in Defense Position, this card gains 1000 DEF for each."
Batteryman C,DR04,database\images\BatterymanC.jpg,Monster,Effect,Nil,Nil,Thunder,LIGHT,2,0,0,"If all ""Batteryman C""(s) on your side of the field are in Attack Position, increase the ATK of all Machine-Type monsters on your side of the field by 500 points for each ""Batteryman C"" on your side of the field. If all ""Batteryman C""(s) on your side of the field are in Defense Position, increase the DEF of all Machine-Type monsters on your side of the field by 500 points for each ""Batteryman C"" on your side of the field."
Batteryman D,DR04,database\images\BatterymanD.jpg,Monster,Effect,Nil,Nil,Thunder,LIGHT,1,0,1900,"While this card is face-up on your side of the field, your opponent cannot select a Thunder-Type monster on your side of the field as an attack target (except ""Batteryman D"")."
Shield Wing,ABPF,database\images\ShieldWing.jpg,Monster,Effect,Nil,Nil,Winged Beast,WIND,2,0,900,"Up to twice per turn, if this card would be destroyed by battle, it is not destroyed."
Black Salvo,CRMS,database\images\BlackSalvo.jpg,Monster,Effect,Nil,Tuner,Machine,DARK,3,100,1100,"When this card is Normal Summoned, you can Special Summon 1 Level 4 DARK Machine-Type monster from your Graveyard in face-up Defense Position. Its effect(s) is negated."
Turbo Synchron,DP08,database\images\TurboSynchron.jpg,Monster,Effect,Nil,Tuner,Machine,WIND,1,100,500,"When this card declares an attack, you can change the attack target to Defense Position. When you take Battle Damage while this card is attacking, you can Special Summon 1 monster from your hand with ATK equal to or less than the Battle Damage you took."
Psychic Jumper,CSOC,database\images\PsychicJumper.jpg,Monster,Effect,Nil,Tuner,Psychic,EARTH,2,100,1500,"Once per turn, you can pay 1000 Life Points and select 1 face-up monster your opponent controls and 1 Psychic-Type monster you control, except ""Psychic Jumper"". Switch control of those monsters. Their battle positions cannot be changed this turn, except with a card effect."
Doitsu,DR04,database\images\Doitsu.jpg,Monster,Effect,Nil,Union,Fairy,EARTH,4,100,200,"Once per turn, during your Main Phase, if you control this card on the field, you can equip it to your ""Soitsu"" as an Equip Card, OR unequip the Union equipment and Special Summon this card in face-up Attack Position. While equipped to a monster by this card's effect, increase the ATK of the equipped monster by 2500 points. (1 monster can only be equipped with 1 Union Monster at a time. If the equipped monster is destroyed by battle, destroy this card instead.)"
Dupe Frog,CRMS,database\images\DupeFrog.jpg,Monster,Effect,Nil,Nil,Aqua,WATER,2,100,2000,"This card's name is treated as ""Des Frog"" while it is face-up on the field. Your opponent cannot select another monster as an attack target. When this card is sent from the field to the Graveyard, you can add 1 ""Frog"" monster except ""Dupe Frog"" or ""Frog the Jam"" from your Deck or Graveyard to your hand."
Poison Draw Frog,CRV,database\images\PoisonDrawFrog.jpg,Monster,Effect,Nil,Nil,Aqua,WATER,2,100,100,"When this face-up card on the field is sent to the Graveyard (unless it was attacked while face-down and destroyed by battle), you can draw 1 card from your Deck."
Outstanding Dog Marron,DCR,database\images\OutstandingDogMarron.jpg,Monster,Effect,Nil,Nil,Beast,LIGHT,1,100,100,"When this card is sent to the Graveyard, it is returned to your Deck. Then shuffle your Deck."
"Renge, Gatekeeper of Dark World",5DS1,database\images\RengeGatekeeperofDarkWorld.jpg,Monster,Normal,Nil,Nil,Fiend,DARK,4,100,2100,"His renowned Olympic physique has made him famous with the populace of Dark World. They call him ""Iron Wall Renge"" because no one can break through his incredible defense."
Atomic Firefly,AST,database\images\AtomicFirefly.jpg,Monster,Effect,Nil,Nil,Insect,LIGHT,1,100,200,"When this face-up card on the field attacks or is attacked and it is destroyed by battle, the player who destroyed it takes 1000 points of damage"
Dark Bug,ABPF,database\images\DarkBug.jpg,Monster,Effect,Nil,Nil,Insect,DARK,1,100,100,"When this card is Normal Summoned, select and Special Summon 1 Level 3 Tuner monster from your Graveyard. The effect(s) of that monster is negated."
Morphtronic Celfon,CSOC,database\images\MorphtronicCelfon.jpg,Monster,Effect,Nil,Nil,Machine,EARTH,1,100,100,"*While in Attack Position: Once per turn, you can roll a six-sided die. Reveal cards from top of your Deck equal to the roll and Special Summon 1 Level 4 or lower ""Morphtronic"" monster from among them, ignoring the Summoning conditions. Shuffle the rest into the Deck. *While in Defense Position: Once per turn, you can roll a six-sided die. Look at cards from the top of your Deck equal to the roll, then return them in the same order."
Tuningware,DP08,database\images\Tuningware.jpg,Monster,Effect,Nil,Nil,Machine,LIGHT,1,100,300,"If this card is used for a Synchro Summon, you can treat it as a Level 2 monster. If this card is sent to the Graveyard for a Synchro Summon, draw 1 card."
Unicycular,ABPF,database\images\Unicycular.jpg,Monster,Normal,Nil,Nil,Machine,EARTH,1,100,100,"The third of the brothers, following Tricular and Bicular."
Reptilianne Servant,ABPF,database\images\ReptilianneServant.jpg,Monster,Effect,Nil,Nil,Reptile,DARK,1,100,100,Destroy this card if there are face-up monsters on the field other than this card. Destroy this card when it is targeted by the effect of a Spell or Trap Card. Neither player can Normal Summon a monster while this card is face-up on the field.
Big One Warrior,DP10,database\images\BigOneWarrior.jpg,Monster,Effect,Nil,Nil,Warrior,LIGHT,1,100,600,"During your Main Phase, you can send 1 Level 1 monster, except this card, from your hand to the Graveyard to Special Summon this card from your hand."
Blackwing - Jetstream the Blue Sky,DP11,database\images\BlackwingJetstreamtheBlueSky.jpg,Monster,Effect,Nil,Nil,Winged Beast,DARK,1,100,800,"During damage calculation, you can send this card from your hand to the Graveyard to prevent a ""Blackwing"" monster you control from being destroyed by this battle."
Yata-Garasu,DB2,database\images\YataGarasu.jpg,Monster,Effect,Nil,Spirit,Fiend,WIND,2,200,100,"This card cannot be Special Summoned. This card returns to the owner's hand during the End Phase of the turn that it is Normal Summoned, Flip Summoned, or flipped face-up. When this card inflicts Battle Damage to your opponent's Life Points, your opponent skips his/her next Draw Phase."
Hanewata,CSOC,database\images\Hanewata.jpg,Monster,Effect,Nil,Tuner,Fairy,LIGHT,1,200,300,You can discard this card to make any effect damage you take this turn 0. This effect can be activated during either player's turn.
Black Potan,ABPF,database\images\BlackPotan.jpg,Monster,Effect,Nil,Nil,Fiend,DARK,1,200,100,"If you control a face-up Tuner monster, this card cannot be destroyed by battle. When a face-up Tuner monster(s) you control is removed from the field, gain 800 Life Points."
Djinn Disserere of Rituals,ABPF,database\images\DjinnDisserereofRituals.jpg,Monster,Effect,Nil,Nil,Fiend,DARK,1,200,200,"When you Ritual Summon a Ritual Monster, you can remove from play this card from your Graveyard as 1 of the monsters required for the Ritual Summon. The monster Ritual Summoned using this card is not affected by Trap Cards."
Jowls of Dark Demise,DB2,database\images\JowlsofDarkDemise.jpg,Monster,Effect,Nil,Nil,Fiend,WATER,2,200,100,"FLIP: Take control of 1 monster on your opponent's side of the field until the end of the turn that this card's effect is activated. When the controlled monster attacks, it may attack your opponent directly."
Magical Merchant,CP05,database\images\MagicalMerchant.jpg,Monster,Effect,Nil,Nil,Insect,LIGHT,1,200,700,FLIP: Pick up cards from the top of your Deck until you pick up a Spell or Trap Card. Add that card to your hand. Send the remaining cards to the Graveyard.
Silent Insect,DR04,database\images\SilentInsect.jpg,Monster,Effect,Nil,Nil,Insect,EARTH,2,200,300,"This card is changed to Defense Position when it is Normal Summoned or Flip Summoned. While this card is face-up on the field, negate the effects of all Continuous Spell Cards and Continuous Trap Cards."
Bicular,ABPF,database\images\Bicular.jpg,Monster,Effect,Nil,Nil,Machine,EARTH,2,200,200,"When this card is destroyed by battle, you can Special Summon 1 ""Unicycular"" from your hand or Deck."
Gadget Driver,CSOC,database\images\GadgetDriver.jpg,Monster,Effect,Nil,Nil,Machine,EARTH,1,200,200,"You can send this card from your hand to the Graveyard and select any number of face-up ""Morphtronic"" monsters you control. Change the battle position of the selected monster(s). This effect can be activated during either player's turn."
Cursed Fig,CSOC,database\images\CursedFig.jpg,Monster,Effect,Nil,Nil,Plant,WATER,1,200,200,"When this card is destroyed by battle and sent to the Graveyard, select 2 Set Spell or Trap Cards on the field. While this card is in the Graveyard, the selected cards cannot be activated."
Dragon Piper,DB2,database\images\DragonPiper.jpg,Monster,Effect,Nil,Nil,Pyro,FIRE,3,200,1800,"FLIP: Destroy all face-up ""Dragon Capture Jar""(s) on the field. If you destroy any, change all face-up Dragon-Type monsters on the field to Attack Position."
Dice Jar,DB2,database\images\DiceJar.jpg,Monster,Effect,Nil,Nil,Rock,LIGHT,3,200,300,"FLIP: Both player roll a six-sided die once. The player with the lowest result takes Direct Damage equal to his/her opponent's results x 500 Life Points. However, if a winner's result is 6, the loser takes 6000 points of Direct Damage. If the results are the same, both players roll again."
Kaibaman,CP03,database\images\Kaibaman.jpg,Monster,Effect,Nil,Nil,Warrior,LIGHT,3,200,700,"You can Tribute this card to Special Summon 1 ""Blue-Eyes White Dragon"" from your hand."
The White Stone of Legend,DGD1,database\images\TheWhiteStoneofLegend.jpg,Monster,Effect,Nil,Tuner,Dragon,LIGHT,1,300,250,"When this card is sent to the Graveyard, add 1 ""Blue-Eyes White Dragon"" from your Deck to your hand."
Supay,ABPF,database\images\Supay.jpg,Monster,Effect,Nil,Tuner,Fiend,EARTH,1,300,100,"When this card is sent from the field to the Graveyard by a card effect, you can Special Summon 1 ""Oracle of the Sun"" from your Deck. The ATK of that monster is doubled, and it returns to the owner's hand during the End Phase of that turn."
Ameba,DB1,database\images\Ameba.jpg,Monster,Effect,Nil,Nil,Aqua,WATER,1,300,350,"When the control of this face-up card on the field shifts to your opponent, inflict 2000 damage to your opponent. This effect can only be used once as long as this card remains face-up on the field."
Milus Radiant,DB2,database\images\MilusRadiant.jpg,Monster,Effect,Nil,Nil,Beast,EARTH,1,300,250,"As long as this card remains face-up on the field, increase the ATK of all Earth monsters by 500 points and decrease the ATK of all Wind monsters by 400 points."
Rescue Cat,DGD1,database\images\RescueCat.jpg,Monster,Effect,Nil,Nil,Beast,EARTH,4,300,100,"You can send this card to the Graveyard; Special Summon 2 Level 3 or lower Beast-Type monsters from your Deck, but they have their effects negated, also they are destroyed during the End Phase. You can only use this effect of ""Rescue Cat"" once per turn."
Herald of Green Light,DR04,database\images\HeraldofGreenLight.jpg,Monster,Effect,Nil,Nil,Fairy,LIGHT,2,300,500,Send this card and 1 other Fairy-Type monster from your hand to the Graveyard to activate this effect. Negate the activation of your opponent's Spell Card and destroy it. This effect can be activated during either player's turn.
Herald of Purple Light,DR04,database\images\HeraldofPurpleLight.jpg,Monster,Effect,Nil,Nil,Fairy,LIGHT,2,300,500,Send this card and 1 other Fairy-Type monster from your hand to the Graveyard to activate this effect. Negate the activation of your opponent's Trap Card and destroy it. This effect can be activated during either player's turn.
Mokey Mokey,AST,database\images\MokeyMokey.jpg,Monster,Normal,Nil,Nil,Fairy,LIGHT,1,300,100,An outcast angel. Nobody knows what he is thinking at all. Sometimes he gets mad and that is dreadful.
Kiseitai,DB1,database\images\Kiseitai.jpg,Monster,Effect,Nil,Nil,Fiend,DARK,2,300,800,"When your opponent's monster attacks this card in face-down Defense Position, this card becomes an Equip Spell Card equipped to the attacking monster (No damage calculation is conducted). During each of your opponent's Standby Phases, gain Life Points by half of the ATK of the monster equipped with this card."
Petit Moth,DB1,database\images\PetitMoth.jpg,Monster,Normal,Nil,Nil,Insect,EARTH,1,300,200,This small but deadly creature is better off avoided.
Cyber Kirin,DP04,database\images\CyberKirin.jpg,Monster,Effect,Nil,Nil,Machine,LIGHT,3,300,800,"By Tributing this card, any effect damage inflicted to you this turn becomes 0."
Tricular,ABPF,database\images\Tricular.jpg,Monster,Effect,Nil,Nil,Machine,EARTH,3,300,300,"When this card is destroyed by battle, you can Special Summon 1 ""Bicular"" from your hand or Deck."
Wall of Ivy,CSOC,database\images\WallofIvy.jpg,Monster,Effect,Nil,Nil,Plant,EARTH,2,300,1200,"FLIP: Special Summon 1 ""Ivy Token"" (Plant-Type/EARTH/Level 1/ATK 0/DEF 0) to your opponent's side of the field. When this Token is destroyed, its controller takes 300 damage."
Stone Statue of the Aztecs,AST,database\images\StoneStatueoftheAztecs.jpg,Monster,Effect,Nil,Nil,Rock,EARTH,4,300,2000,Double any Battle Damage your opponent takes when they attack this monster.
Sand Gambler,AST,database\images\SandGambler.jpg,Monster,Effect,Nil,Nil,Spellcaster,LIGHT,3,300,1600,"Toss a coin 3 times. If all 3 results are Heads, destroy all monsters on your opponent's side of the field. If all 3 results are Tails, destroy all monsters on your side of the field. This effect can only be used once per turn during your Main Phase."
Armed Ninja,DB1,database\images\ArmedNinja.jpg,Monster,Effect,Nil,Nil,Warrior,EARTH,1,300,300,"FLIP: Select 1 Spell Card on the field and destroy it. If the selected card is Set, pick up and see the card. If it is a Spell Card, it is destroyed. If it is a Trap Card, return it to its original position."
Boost Warrior,DP10,database\images\BoostWarrior.jpg,Monster,Effect,Nil,Nil,Warrior,FIRE,1,300,200,"If you control a face-up Tuner monster, you can Special Summon this card from your hand in face-up Defense Position. All Warrior-Type monsters you control gain 300 ATK."
Sonic Chick,5DS1,database\images\SonicChick.jpg,Monster,Effect,Nil,Nil,Winged Beast,EARTH,1,300,300,This card cannot be destroyed by battle with a monster that has 1900 ATK or more.
Sonic Jammer,AST,database\images\SonicJammer.jpg,Monster,Effect,Nil,Nil,Machine,WIND,2,350,650,FLIP: Your opponent cannot activate any Spell Cards until the end of the End Phase of the next turn.
Griggle,DB1,database\images\Griggle.jpg,Monster,Effect,Nil,Nil,Plant,EARTH,1,350,300,"When the control of this face-up card on the field shifts to your opponent, gain 3000 Life Points. This effect can only be used once as long as this card remains face-up on the field."
Water Spirit,5DS1,database\images\WaterSpirit.jpg,Monster,Effect,Nil,Tuner,Aqua,WATER,1,400,1200,This ancient water spirit haunts the glacial monoliths of Antarctica. It has the power to seep into the pores of any substance and chill it to the bone.
Oilman,ABPF,database\images\Oilman.jpg,Monster,Effect,Nil,Union,Machine,EARTH,2,400,400,"Once per turn, during your Main Phase, you can equip this card to a Machine-Type monster you control as an Equip Card, OR unequip it to Special Summon this card in face-up Attack Position. While equipped to a monster by this effect, if the equipped monster destroys an opponent's monster by battle, draw 1 card. (A monster can only be equipped with 1 Union Monster at a time. If the equipped monster would be destroyed, destroy this card instead.)"
Totem Dragon,CRMS,database\images\TotemDragon.jpg,Monster,Effect,Nil,Nil,Dragon,EARTH,2,400,200,"This card can be treated as 2 Tributes for the Tribute Summon of a Dragon-Type monster. If this card is in your Graveyard during your Standby Phase and you control no monsters, you can Special Summon this card in Attack Position. You cannot activate this effect if there are any monsters in your Graveyard that are not Dragon-Type. If this card is Special Summoned with this effect, remove it from play when it is removed from the field."
Djinn Prognosticator of Rituals,ABPF,database\images\DjinnPrognosticatorofRituals.jpg,Monster,Effect,Nil,Nil,Fiend,DARK,3,400,300,"When you Ritual Summon a Ritual Monster, you can remove from play this card from your Graveyard as 1 of the monsters required for the Ritual Summon. When the monster Ritual Summoned using this card inflicts Battle Damage to your opponent, your opponent must select and discard 1 card."
Kozaky,AST,database\images\Kozaky.jpg,Monster,Normal,Nil,Nil,Fiend,DARK,1,400,400,A workaholic fiend who devotes everything to his research into the languages of Dark World. His mind has collapsed because of working too hard.
Chrysalis Dolphin,DP03,database\images\ChrysalisDolphin.jpg,Monster,Effect,Nil,Nil,Fish,WATER,2,400,600,"By Tributing this card while ""Neo-Space"" is on the field, Special Summon 1 ""Neo-Spacian Aqua Dolphin"" from your hand or Deck."
Bombardment Beetle,DB1,database\images\BombardmentBeetle.jpg,Monster,Effect,Nil,Nil,Insect,WIND,2,400,900,"FLIP: Pick up and see 1 face-down Defense Position Monster Card on your opponent's side of the field. If it is an Effect Monster, destroy it (its Flip Effect is not activated), and if the card is not, return it to its original position."
Horseytail,CSOC,database\images\Horseytail.jpg,Monster,Effect,Nil,Nil,Plant,WIND,2,400,500,"When this card is destroyed by battle and sent the Graveyard, Special Summon 1 ""Horseytail Token"" (Plant-Type/WIND/Level 1/ATK 0/DEF 0) to your opponent's side of the field in Defense Position. When this Token is destroyed by battle with a Plant-Type monster, its controller sends 1 card from their hand to the Graveyard."
Apprentice Magician,CP04,database\images\ApprenticeMagician.jpg,Monster,Effect,Nil,Nil,Spellcaster,DARK,2,400,800,"When this card is Summoned, put 1 Spell Counter on a face-up card that you can put a Spell Counter on. If this card is destroyed in Battle, you can select 1 Level 2 or lower Spellcaster-Type monster from your Deck and Special Summon it in face-down Defense Position."
Arcanite Magician,CRMS,database\images\ArcaniteMagician.jpg,Monster,Effect,Synchro,Nil,Spellcaster,LIGHT,7,400,1800,"1 Tuner + 1 or more non-Tuner Spellcaster-Type monsters When this card is Synchro Summoned, place 2 Spell Counters on it. This card gains 1000 ATK for each Spell Counter on it. You can remove 1 Spell Counter from a card you control to destroy 1 card your opponent controls."
Power Supplier,ABPF,database\images\PowerSupplier.jpg,Monster,Effect,Nil,Nil,Spellcaster,EARTH,2,400,400,"Once per turn, you can select 1 face-up monster you control. It gains 400 ATK while you control this face-up card. (A monster cannot gain more than 400 ATK from this card's effect.)"
The Unhappy Girl,AST,database\images\TheUnhappyGirl.jpg,Monster,Effect,Nil,Nil,Spellcaster,LIGHT,2,400,300,"As long as this card remains face-up in Attack Position on the field, this card is not destroyed by battle at any time, although damage calculation is applied normally. A monster that battles with this card cannot change its Battle Position or attack as long as this card remains face-up in Attack Position on the field."
Gauntlet Warrior,DP09,database\images\GauntletWarrior.jpg,Monster,Effect,Nil,Nil,Warrior,EARTH,3,400,1600,You can Tribute this card to have all face-up Warrior-Type monsters you control gain 500 ATK and DEF until the end of the next Damage Step they battle. This effect can be activated during either player's turn.
Soul-Absorbing Bone Tower,AST,database\images\SoulAbsorbingBoneTower.jpg,Monster,Effect,Nil,Nil,Zombie,DARK,3,400,1500,"This card cannot be attacked if there is another Zombie-Type monster on your side of the field. Each time a Zombie-Type monster is Special Summoned successfully, send 2 cards from the top of your opponent''s Deck to the Graveyard."
Alien Ammonite,CRMS,database\images\AlienAmmonite.jpg,Monster,Effect,Nil,Tuner,Reptile,LIGHT,1,500,200,"When this card is Normal Summoned, you can Special Summon 1 Level 4 or lower ""Alien"" monster from your Graveyard. The monster Special Summoned by this effect is destroyed during the End Phase."
Comrade Swordsman of Landstar,CSOC,database\images\ComradeSwordsmanofLandstar.jpg,Monster,Effect,Nil,Tuner,Warrior,EARTH,3,500,1200,All Warrior-Type monsters you control gain 400 ATK.
Flip Flop Frog,CRMS,database\images\FlipFlopFrog.jpg,Monster,Effect,Nil,Nil,Aqua,WATER,2,500,200,"Once per turn, you can flip this card into face-down Defense Position. When this card is flipped face-up, you can return monsters your opponent controls to their owners' hand up to the number of face-up ""Frog"" monsters you control, except ""Frog the Jam""."
Whirlwind Weasel,DR04,database\images\WhirlwindWeasel.jpg,Monster,Effect,Nil,Nil,Beast,WIND,3,500,1500,FLIP: Your opponent cannot activate any Spell or Trap Cards for the rest of this turn.
Man Beast of Ares,CDIP,database\images\ManBeastofAres.jpg,Monster,Effect,Nil,Nil,Beast-Warrior,EARTH,3,500,500,"After a Chain (of 2 or more Links) resolves, this card gains 500 ATK."
Hoshiningen,DB2,database\images\Hoshiningen.jpg,Monster,Effect,Nil,Nil,Fairy,LIGHT,2,500,700,"As long as this card remains face-up on the Field, increase the ATK of all LIGHT monsters by 500 points and decrease the ATK of all DARK monsters by 400 points."
Earthbound Spirit,DB1,database\images\EarthboundSpirit.jpg,Monster,Normal,Nil,Nil,Fiend,EARTH,4,500,2000,"A vengeful creature formed by the spirits of fallen warriors, it drags any who dares to approach it to the deepest bowels of the earth."
"Scarr, Scout of Dark World",DR04,database\images\ScarrScoutofDarkWorld.jpg,Monster,Effect,Nil,Nil,Fiend,DARK,2,500,500,"When this card is destroyed by battle and sent to the Graveyard, add 1 Level 4 or lower monster that includes ""Dark World"" in its card name from your Deck to your hand."
